Noticia,Rotulo
"Ibope em Belém: Edmilson Rodrigues, do PSOL, lidera com 39%  

a disputa pela prefeitura de belém (pa) tem edmilson rodrigues (psol) na liderança isolada, com 39% das intenções de voto na pesquisa ibope divulgada hoje. priante (mdb) está em outro patamar de intenções de votos, com 10%. com 5% estão o delegado federal eguchi (patriota) e gustavo sefer (psd). eles são seguidos por cassio andrade (psb), mario couto (prtb), thiago araujo (cidadania) e vavá martins (republicanos), cada um com 4% de intenções de voto. como a margem de erro é de quatro pontos percentuais, para mais ou para menos, todos estão tecnicamente empatados. o levantamento foi realizado entre os dias 30 de setembro e 2 de outubro.",fake
"Rosa Weber defende que juiz de primeira instância pode autorizar buscas na Câmara e no Senado

a ministra do supremo tribunal federal rosa weber defendeu que juízes de primeira instância podem autorizar busca e apreensão na câmara e no senado quando os fatos envolvendo parlamentares não têm relação com o mandato atual. o entendimento ficou expresso na decisão que designou à justiça do piauí a competência sobre investigações envolvendo a deputada federal rejane dias (pt-pi). no despacho obtido pela tv globo, rosa weber argumentou que a tese segue a reformulação do foro privilegiado do supremo. a câmara recorreu ao stf para anular as buscas realizadas no gabinete da deputada.</s>",fake
"Covid: Com Américas liderando casos, OMS registra 4.248.389 infectados  

o número de mortes causadas pelo novo coronavírus ao redor do mundo subiu para 294.046. os dados foram compilados com informações recebidas pela organização até as 5h (de brasília) do dia 14 de maio. houve um aumento de 6.647 mortes em relação às informações divulgadas ontem. as américas do norte, sul e central, juntas, lideram os diagnósticos de coronavírus.</s>",fake
"Olavo de Carvalho tem alta do InCor, em São Paulo  

o escritor olavo de carvalho teve alta hoje do incor (instituto do coração do hospital das clínicas da fmusp) onde estava internado desde o dia 8 de julho. o guru da família do presidente da república jair bolsonaro (sem partido) tratou uma crise de angina e fez uma cirurgia de revisão da operação da bexiga feita em maio deste ano. a intervenção cirúrgica realizada em caráter emergencial no incor, em 13 de julho último, com o comando do prof. dr. miguel sroug, teve a finalidade de corrigir obstrução uretral consequente de quadro infeccioso recorrente no local da cirurgia anterior e aumento prostático.</s>",fake
"EUA afirmam que Moscou envenenou Navalny e anunciam sanções  

os estados unidos anunciaram hoje a imposição de sanções contra sete altos funcionários russos, em resposta ao envenenamento do dissidente preso alexei navalny, pelo qual os serviços de inteligência de washington responsabilizam moscou. em um esforço coordenado com a união europeia, os estados unidos insistiram em seu pedido para que a rússia liberte o líder opositor, cuja prisão em janeiro ao retornar para moscou despertou uma onda de manifestações contra o governo. ""a comunidade da inteligência estima com um alto nível de confiança que funcionários do serviço federal de segurança (fsb) da rússia usaram um agente nervoso conhecido como novichok para envenenar o líder opositor russo alexei navalny em 20 de agosto de 2020"", disse um alto funcionário que preferiu o anonimato.",fake
"Ilhas do pacífico atravessam pandemia do coronavírus sem registro de casos  

enquanto o resto do mundo luta para controlar surtos de covid-19, países insulares no oceano pacífico conseguem manter suas populações em segurança --- em parte devido às lições aprendidas em crises anteriores. o novo coronavírus se espalhou rapidamente e sorrateiramente por quase todos os cantos do planeta, matando mais de 319 mil pessoas até ontem e forçando outras dezenas a se refugiarem no isolamento. mas apenas 15 nações não aparecem na lista da organização mundial da saúde (oms) de países sem nenhum caso relatado do coronavírus, que já infectou mais de 4,8 milhões de pessoas em todo o mundo. é preciso questionar a precisão dos dados de pelo menos três desses países: coreia do norte, lesoto, turcomenistão, ilhas salomão, tonga e vanuatu. a distância física entre as nações insulares do pacífico parece ter isolado países como palau, tuvalu, ilhas marshall, estados federados da micronésia, kiribati, nauru e ilhas salomão é a principal razão para os estados não evitarem infecções. mas o fato de serem abençoados pelo isolamento geográfico é uma das razões pelos quais esses estados foram capazes de evitar infecções. e a motivação dos governos insulares era simples: eles",fake
"Coronavírus: Ministério da Saúde confirma mais dois casos suspeitos

o ministério da saúde investiga mais dois casos suspeitos de coronavírus, um no rio grande do sul e outro no paraná. none de acordo com o ministério, os pacientes se enquadram na definição de caso suspeito para o ncov-2019 (o novo coronavírus) estabelecida pela organização mundial de saúde (oms), por exemplo, apresentaram febre e, pelo menos um sinal ou sintoma respiratório, além de terem estado em área de transmissão local nos últimos 14 dias. a oms aumentou o nível de alerta para alto em relação ao risco global do novo coronavírus, por isso, orienta viagens para a china devem ser realizadas em casos de extrema necessidade. com quase três mil casos confirmados, todo o território chinês passa a ser considerado zona de transmissão ativa da doença. o secretário-executivo do ministério do saúde, joão gabbardo dos reis, ouvido pelo site, informa que o caso analisado é de um homem de 40 anos que vive na cidade chinesa de kunming, na província de yunnan, onde 44 casos foram confirmados. o paciente procurou uma unidade de pronto atendimento (upa) relatando febre e insuficiência respiratória. o centro de operações de emergência (coe) do ministério classifica os riscos em três níveis",fake
"Machu Picchu reduzirá capacidade a 2.244 visitantes por dia em reabertura  

a cidadela inca de machu picchu, a joia do turismo peruano, receberá diariamente um máximo de 2.244 pessoas, metade dos turistas que entravam na alta temporada antes da pandemia, ao reabrir em data ainda não definida, informou o governo hoje. foi estabelecida ""a capacidade de entrada em machu picchu a 2.244 visitantes por dia"", afirma a normativa publicada no diário oficial, que inclui recomendações da unesco ao peru. o limite de turistas havia sido sugerido por especialistas internacionais às autoridades peruanas como forma de evitar a deterioração gradual de machu picchu, que é patrimônio cultural da humanidade desde 1983. a recomendação faz parte de um relatório do ministério da cultura, que teve a aprovação adiada por vários meses por causa da pandemia do novo coronavírus.",fake
"CPI aprova convocação de advogada de Bolsonaro e quebra de sigilo da VTCLog  

a cpi da covid aprovou hoje a convocação da advogada karina kufa (que atua em processos relacionados à família do presidente jair bolsonaro) e também requerimento de quebra de sigilos telefônico, fiscal, bancário e telemático da vtclog (empresa contratada para cuidar da logística do ministério da saúde). a deliberação ocorreu em audiência que deveria ter sido dedicada a ouvir o depoimento do motoboy ivanildo gonçalves, prestador de serviço da vtclog. no entanto, a oitiva foi cancelada após decisão do stf (supremo tribunal federal), que desobrigou o comparecimento da testemunha. o nome de ivanildo entrou no radar da cpi depois que um relatório do coaf detectou movimentações financeiras atípicas. nos últimos dois anos, o motoboy pagou contas da empresa e realizou saques que somam r$ 4,7 milhões.",fake
"Governos lançam propagandas impactantes e alertam para riscos de transmissão de Covid-19 nas festas de fim de ano

os governos do ceará, do rio grande do sul e da bahia divulgaram propagandas preocupantes sobre o risco de transmissão da covid-19 entre pessoas da mesma família. em dezembro, o governo do ceará divulgou um vídeo intitulado se for celebrar, não aglomere. a jovem revela o seu amigo secreto e explica que não pôde participar da brincadeira neste ano porque ele morreu. a propaganda do governo cearense teve mais de 100,3 mil visualizações.</s>",fake
"PGR diz ao STF que apoia prorrogar inquérito que apura se Bolsonaro tentou interferir na PF

o procurador-geral da república, augusto aras, enviou um parecer favorável ao pedido da polícia federal para prorrogar o inquérito sobre a interferência do presidente jair bolsonaro na pf. a delegada que conduz as investigações, christiane correa machado, pediu 30 dias adicionais para concluir o inquérito. o relator do caso no supremo, celso de mello, pediu a manifestação da pgr. a investigação foi autorizada pelo stf em 27 de abril, três dias após o então ministro da justiça, sergio moro, ter anunciado a demissão do presidente. alega que bolsonaro interferiu na instituição.</s>",fake
"Sintomas de covid: 6 orientações diante da suspeita da doença  

festas de final de ano, avanço da variante ômicron pelo mundo, recordes de novos casos em vários países, ausência de política de testagem... são alguns dos fatores que levantam suspeitas de que o brasil possa estar vivendo uma onda silenciosa de novas infecções pelo coronavírus nesse início de 2022. além disso, os sistemas de informática do ministério da saúde ainda não foram recuperados de um ataque hacker realizado no início de dezembro. mesmo assim, a média móvel dos novos casos de covid-19 já está bem abaixo do que foi registrado entre março e junho de 2021.</s>",fake
"Coronavírus na China: a escritora que relatou a vida em Wuhan e despertou a ira dos nacionalistas  

a escritora chinesa fang fang contou sua vida em wuhan no início da pandemia em 60 publicações, e seu trabalho provocou uma onda de críticas depois que foi noticiado que seria traduzido para inglês e outros idiomas. a escritora de 64 anos, wang fang, escreveu um diário digital de wuhan.</s>",fake
"CMN aprova gasto extra de R$ 437 milhões para imprimir mais de R$ 100 bilhões em cédulas

o conselho monetário nacional aprovou um gasto extra de r$ 437 milhões para impressão de cédulas. a previsão é de que a casa da moeda imprima r$ 100 bilhões adicionais em papel. o banco central informou em ofício ao cmn que a procura por cédulas bateu recorde nos últimos 26 anos. o bc cita a crise do novo coronavírus como um dos motivos para o aumento da procura.</s>",fake
"Países da Europa vacinam idosos e profissionais de saúde contra covid  

alemanha, áustria, frança, itália, grécia, portugal, espanha e república tcheca estão entre os primeiros países a participarem do programa de vacinação em massa iniciado hoje (27) na europa. a campanha faz parte dos esforços de combate à pandemia de covid-19, doença que afetou economias e matou mais de 1,7 milhão de pessoas em todo o mundo. os primeiros a receberem a primeira dose da vacina desenvolvida pela pfizer e biontech são idosos e os profissionais da área da saúde, que já estão fazendo fila para ser imunizados. diante da grande escala de esforços para a vacinação, alguns países europeus tiveram de convocar médicos aposentados para ajudar nessa campanha. há inclusive países que tiveram de mudar suas regras sobre quem tem autorização para aplicar injeções.",fake
"Ator de 'Homem de Ferro' é preso por vender ""cura"" para o coronavírus  

o ator americano keith middlebrook, conhecido por suas participações em filmes como homem de ferro 2, jogada de risco e outros, foi preso hoje pelo fbi por vender pílulas que supostamente curariam a covid-19. ele estaria vendendo os remédios com patente pendente a um agente do fbi que se passava por um investidor. a agência do fbi descobriu que ele vinha tentando angariar fundos com investidores em potencial para a empresa criada por ele, a quantum prevention cv.</s>",fake
"Países em que população não cumpre regras foram mais afetados pela covid-19, diz psicóloga americana  

a pandemia de covid-19 já deixou mais de 107 milhões de infectados e mais de 2,3 milhões de mortos ao redor do mundo. mas enquanto alguns países, como o brasil ou os estados unidos, foram duramente atingidos, outros, como cingapura ou taiwan, foram mais bem-sucedidos ao limitar o número de casos e mortes. uma das explicações para essa disparidade, segundo a psicóloga americana michele gelfand, professora da universidade de maryland, pode estar nas diferenças culturais entre esses países em relação à rigidez das normas sociais e à disposição da população em seguir regras.",fake
"STF dá 5 dias para Pazuello explicar orientações sobre cloroquina  

o ministro do stf (supremo tribunal federal) celso de mello deu cinco dias para que o ministro interino da saúde, eduardo pazuello, apresente esclarecimentos sobre a orientação para uso de cloroquina e hidrocloroquina contra o coronavírus. a decisão é do dia 30 de maio. requisitem-se prévias informações ao senhor ministro de estado da saúde, que deverá prestá-las no prazo de 05 (cinco) dias (lei no 9.882/1999, art. 5o), § 2o), manifestando-se sobre a cognoscibilidade da arguição de descumprimento de preceito fundamental. os prazos processuais do stf ficarão suspensos de 2 a 31 de julho. o ministro celso mello é o relator da ação da cnts.</s>",fake
"Novo ministro indica que Bolsonaro ainda vê Meio Ambiente como adversário  

a escolha do novo ministro do meio ambiente parece indicar que o país precisa dos dólares e da comida do agronegócio. joaquim álvaro pereira leite, secretário da amazônia e serviços ambientais, tem um histórico de longo histórico ligado à cafeicultura. o ministro não abre mão da subordinação do meio ambiente à agricultura. a escolha não agradará aos setores mais atrasados do ruralismo.</s>",fake
"Espanha pede ao Brasil 'compromissos' ambientais para desbloquear o acordo UE-Mercosul  

a ministra das relações exteriores da espanha, arancha gonzález laya, pediu nesta sexta-feira (7) ao brasil mais compromissos no combate ao desmatamento na amazônia, para desbloquear o acordo comercial entre a união europeia (ue) e o mercosul. o acordo, concluído em 2019 após mais de 20 anos de negociações, visa criar um mercado de cerca de 750 milhões de consumidores entre os 27 países da união europeia e os quatro do mercosul (brasil, argentina, uruguai e paraguai). mas o processo de ratificação está desacelerando devido ao aumento dos incêndios e do desmatamento na amazônia desde que o presidente jair bolsonaro assumiu o poder em 2019.",fake
"Raul Velloso critica reação à decisão sobre Lula: Mercado governará o país?  

a reação do mercado, desde que o ministro edson fachin, do supremo tribunal federal, anulou as condenações do ex-presidente luiz inácio lula da silva pelo ex-juiz sergio moro, na lava jato, reage mal à notícia. o petista voltou a trabalhar com o chamado “risco lula”. o economista raul velloso, secretário de assuntos econômicos do ministério do planejamento do governo sarney e presidente do instituto nacional de altos estudos, critica esse tipo de análise.</s>",fake
"Com covid-19, Faro posa ao lado da esposa e reflete: 'Uma batalha por dia'  

o apresentador rodrigo faro, de 47 anos, posou na noite de hoje ao lado da esposa, vera viel, de 45. o casal e as três filhas, clara, de 16 anos, maria, de 13, e helena, de 8, testaram positivo para a covid-19. em seu instagram oficial, faro e a esposa apareceram sorridentes, porém, o comunicador desabafou sobre a doença: ""um dia de cada vez?uma batalha por dia ?obrigado a todos pelas milhares de mensagens, pelas orações do mundo todo?vamos vencer com a ajuda de deus e de cada um de vocês!"", legendou ele na imagem.",fake
"Jovem que matou 2 manifestantes nos EUA chora ao ser absolvido  

o jovem norte-americano kyle rittenhouse, que matou duas pessoas com um rifle semiautomático e feriu uma terceira durante manifestações antirracistas em agosto de 2020, no estado de wisconsin, chorou ao ser absolvido nesta sexta-feira (19).",fake
"Covid-19: Grávidas passam anticorpos para os bebês? Entenda o que se sabe

a notícia de um recém-nascido com anticorpos contra a covid-19 no sul do brasil traz de volta a pergunta: o que sabemos até aqui sobre a transferência da proteção de gestantes para bebês? o caso aconteceu em tubarão (sc) e a mãe, médica, foi vacinada com a coronavac em fevereiro, quando estava com 34 semanas de gestação, segundo noticiou o g1 santa catarina. antes disso, uma mulher deu à luz um bebê com anticorpos detectáveis no sangue do cordão umbilical após vacinação materna. as informações foram relatadas em artigo ainda não revisado por pares. a mãe, trabalhadora da saúde da linha de frente contra a covid, recebeu a primeira dose da vacina moderna com 36 semanas e 3 dias. três semanas depois, ocorreu o parto normal.</s>",fake
" Resultados da vacinação em massa no interior de SP e mais da noite de 31 de maio 

os resultados do projeto de vacinação em massa contra a covid-19 realizado em são paulo, a projeção do pib pela ocde e o sorteio de rosa weber como relatora da ação dos governadores no stf estão entre os destaques do 5 fatos noite desta segunda-feira, 31 de maio de 2021. a ministra rosa weber foi sorteada como relatora da ação de governadores no supremo tribunal federal (stf) contra convocação para depor à cpi da pandemia. de acordo com os governadores, a convocação é inconstitucional porque fere o pacto federativo e a separação de poderes.",fake
"Transformação digital? Consciência social será principal legado da pandemia  

o que podemos fazer a seu favor para construir processos mais inovadores para um futuro sustentável nas organizações e na sociedade? há que se olhar para os modelos de gerenciamento da transformação digital, para os perfis dos times, para seus desafios e metodologias a serem adotados. a reflexão desse momento atual nos mostra que nada será como antes devido à ruptura de mentalidade que foi acelerada pela crise pandêmica.</s>",fake
"Evolução do coronavírus: o que é a mutagênese letal, possível arma contra Covid-19

mais de 36 milhões de pessoas infectadas, mais de um milhão de mortos. até o momento, nenhum tratamento se mostrou totalmente eficaz contra o sars-cov-2, o vírus que causa a covid-19. e alguns cientistas se perguntam se outra estratégia poderia ser aplicada: usar as próprias armas do vírus contra ele. uma das táticas do sars-cov-2 para derrotar o sistema imunológico é se replicar rapidamente, mas nisso também existe um ponto fraco. conforme o vírus se replica, ele acumula mutações. assim, seria possível combatê-lo acelerando essas mutações e fazendo com que o vírus ""sofresse mutação mortal"", em um processo que os cientistas chamam de ""mutagênese letal""?",fake
"Bolsonaro deseduca a população e dá mau exemplo ao incentivar desconfiança com vacina, diz Kennedy  

no uol news, o colunista kennedy alencar comentou as recentes declarações do ministro da saúde, marcelo queiroga, sobre a vacinação de crianças contra a covid-19. a imunização com a vacina da pfizer para o público de 5 a 11 anos foi liberada na última quinta (16) pela anvisa, mas o grupo etário ainda não foi incluído no plano nacional de imunização (pni). questionado sobre o assunto, o ministro afirmou nesta segunda (20) que ""a pressa é inimiga da perfeição"" e defendeu uma consulta pública sobre o tema. #uolnews",fake
"Câmara aprova texto-base do Código Eleitoral com previsão de quarentena em 2026  

a proposta precisa ser aprovada pelo senado até outubro. o estadão/broadcast apurou que os senadores não devem avaliar a proposta em tempo hábil. para críticos, a medida limita a atuação do tribunal superior eleitoral, limita a divulgação de pesquisas eleitorais, diminui a transparência e fiscalização de partidos no uso dos recursos públicos, entre outros pontos.o partido novo orientou contra a aprovação do projeto, por causa da mudança de sistema de prestação de contas, que vai comprometer a transparência, as normas que beneficiam partidos com contas irregulares, as autorizações de gastos irregulares, a ampliação de regras para a criação de partidos.a deputada margarete coelho (progressistas-pi), relatora do projeto mudou a regra de quarentena para juízes e militares disputarem eleições. a proposta proíbe militares, policiais, juízes e promotores de concorrerem por um período de cinco anos após deixarem seus cargos. a bancada da bala tenta aprovar um destaque para retirar os policiais da regra.a proposta proíbe pesquisas eleitorais no dia e na véspera das disputas eleitorais, sob o argumento de que isso poderia ter efeitos sobre o voto do eleitor. a deputada também reduz o prazo da justiça eleitoral para a análise das contas dos partidos de cinco para dois anos.",fake
"EUA se preparam para enfrentar ômicron, mas é cedo para lockdown, diz Fauci  

os norte-americanos devem estar preparados para lutar contra a propagação da nova variante de covid-19 ômicron, mas é muito cedo para dizer quais ações são necessárias, incluindo possíveis lockdowns, disse neste domingo o doutor anthony fauci, principal especialista em doenças infecciosas do país. os estados unidos devem fazer ""tudo e qualquer coisa"" em meio aos prováveis casos da variante, mas é ""muito cedo para dizer"" se novos lockdowns serão necessários, disse fauci à abc news. ""você quer estar preparado para fazer tudo e qualquer coisa"", acrescentou.",fake
"Ex-ministro Eduardo Pazuello é flagrado sem máscara em shopping de Manaus  

o ex-ministro da saúde eduardo pazuello foi flagrado sem máscara em um shopping de manaus na tarde ontem. as imagens foram tiradas pela fotógrafa jaqueline bastos, que estava no local e percebeu que o general do exército estava sem a peça de proteção contra o coronavírus. a fotógrafa disse ao uol que o flagra aconteceu no manauara shopping. ela afirmou ter questionado o ex-ministro por não estar usando a máscara e, segundo ela, pazuello respondeu com ironia, perguntando ""onde vende"" a peça. eu o vi entrando, a moça [na entrada do shopping] deixou ele entrar e ele saiu andando em minha direção. eu o questionei se realmente ele estava sem máscara no manauara shopping e ele respondeu: 'é, pois é, né, tem que comprar, onde vende isso?'jaqueline bastos",fake
"Justiça suspende decreto que restringe acesso a Ilhabela pela balsa  

a justiça de ilhabela suspendeu quaisquer decretos municipais que restrinjam o ingresso de pessoas ou objetos por meio do sistema de travessia de balsas oceânicas, de acordo com informações do tj (tribunal de justiça) paulista. o decreto de 1o de junho prevê a designação de servidores públicos para analisar e emitir autorizações de entrada em ilhabela. no entanto, segundo o juiz vitor hugo aquino de oliveira, se o próprio município já editou normas para a retomada da atividade econômica e o relaxamento do isolamento social devido à pandemia do novo coronavírus, deve ser respeitado o direito do cidadão de se locomover.</s>",fake
"Volta de servidores para trabalho presencial exige ciclo vacinal completo  

a instrução normativa do ministério da economia, publicada no diário oficial da união de hoje, traz regras para o retorno do servidor e empregados públicos ao trabalho presencial. o servidor deverá observar as medidas sanitárias recomendadas pelo ministério da saúde como uso de equipamentos de proteção individual e de medidas em relação aos casos suspeitos e confirmados do novo coronavírus. a mesma instrução informativa traz uma lista de casos nos quais os servidores e empregados devem permanecer em trabalho remoto. os que apresentem condições ou fatores de risco são: idade igual ou superior a 60 anos, tabagismo, obesidade, insuficiência cardíaca, miocardiopatia isquêmica entre outros. também entram na lista os casos de saúde que se enquadram na lista de risco: hipertensão arterial, doença cerebrovascular, pneumopatias graves ou descompensadas; doenças renais crônicas em estágio avançado, diabetes melito, doenças cromossômicas com estado de fragilidade imunológica; neoplasia maligna, cirrose hepática, doenças hematológicas e gestação. também ficam liberados pais e responsáveis legais legais de crianças em idade escolar e inferior.</s>",fake
"Com Biden ou Trump, Forster diz esperar boa relação entre Brasil e EUA  

o embaixador do brasil nos estados unidos, nestor forster, disse que vê com otimismo a parceria entre os países independentemente do resultado da eleição americana, que está sendo realizada hoje. a relação é baseada em valores comuns e maiores do que preferências políticas. o candidato à reeleição, donald trump, está alinhado politicamente com o presidente jair bolsonaro, mas pesquisas indicam favoritismo do democrata joe biden no pleito. o embaixador no brasil nos eua disse que o futuro de nossa parceria está baseado em valores como liberdade, democracia, respeito aos direitos humanos, economia de mercado e visão de longo prazo.</s>",fake
"A surpreendente maneira como os animais compreendem os números

uma das descobertas mais importantes das últimas décadas foi a de que a habilidade dos seres humanos de trabalhar com números está profundamente arraigada na nossa ancestralidade biológica e não se baseia na nossa capacidade em usar a linguagem. considerando a variedade de situações em que nós humanos usamos informações numéricas, a vida sem números é inconcebível. mas como a competência numérica beneficiou nossos ancestrais, antes de eles virarem o homo sapiens? e por que esses animais precisariam usar matemática? pois se descobriu que processar números oferece uma vantagem significativa para sobrevivência, que é o porquê dessa característica de comportamento estar presente em muitas populações de animais.",fake
"Unctad: PIB global pode perder US$ 4 trilhões com impacto da pandemia no turismo  

a crise no turismo internacional, causada pela pandemia do coronavírus, pode custar us$ 4 trilhões ao produto interno bruto (pib) global nos anos de 2020 e 2021, segundo relatório da conferência das nações unidas sobre comércio e desenvolvimento (unctad, na sigla em inglês). especialistas da organização mundial do turismo afirmam não esperar que o setor alcance os níveis pré-pandêmicos até 2023. para 2021, a perda de us$ 1,7 trilhão a us$ 2,4 trilhões será, segundo a unctad, um programa de estímulos de cada país não é considerado na conta.</s>",fake
