Noticia,Rotulo
"Mercado financeiro melhora projeção para o PIB em 2020 e passa a prever tombo de 5,46%

os economistas do mercado financeiro reduziram a previsão para o tombo produto interno bruto (pib) de 2020, revisando a estimativa de uma redução de 5,52% para 5,46%. a projeção faz parte do boletim de mercado do banco central (bc). o pib é a soma de todos os bens e serviços produzidos no país e serve para medir a atividade econômica.</s>",fake
"Frase de prêmio Nobel de Economia com elogios ao Brasil é de 2014

a imagem traz uma fala de leitão dizendo que ""brasil tem uma economia diversificada e complexa e está com vários problemas por erros de decisão, de gestão e de política econômica do governo"". por outro lado, krugman teria dito que ""o brasil saiu da crise mundial muito bem e não se justificam preocupações com a sua economia"".",true
"Ouro continua marcha implacável em meio à demanda por segurança  

a desvalorização do dólar fez com que as cotações do metal precioso superassem o recorde de 2011 e colocou a commodity nos trilhos para ganhos ainda maiores. a queda de um indicador da moeda dos eua para o menor nível em mais de um ano é um sinal de uma série de fatores, como juros reais negativos nos eua e apostas de que o federal reserve manterá a política acomodativa quando se reunir nesta semana. o mundo enfrenta um longo período de turbulência econômica e política sem precedentes e o ouro mira us$ 2.000. alguns especialistas do mercado sugerem que o ativo, considerado um porto seguro, pode subir além desse nível. o fed sinalizou a disposição de cortar as taxas de juros diante da incerteza. o rali ganhou ritmo no início de 2020, com o aumento das tensões geopolíticas e o surto de coronavírus no crescimento global.</s>",fake
"Caixa prorroga pausa de prestações da casa própria por dois meses  

a caixa econômica federal anunciou a prorrogação por dois meses da pausa nas prestações dos programas da casa própria. a medida inclui as faixas 1,5, 2 e 3 do sbpe (sistema brasileiro de poupança e empréstimos). quem já solicitou anteriormente a pausa temporária por 120 dias, pode agora pedir pela prorrogação por 60 dias. o presidente do banco, pedro guimarães, informou que a pausa é válida para financiamentos à produção de empreendimentos e à construção de imóveis comerciais.</s>",fake
"Mercado reduz previsão para o PIB e passa a ver recessão em 2020  

economistas de instituições financeiras consultadas pelo banco central (bc) reduziram pela sétima semana seguida a estimativa de crescimento para o pib (produto interno bruto) deste ano. dessa vez, houve uma redução drástica: a previsão para o pib brasileiro, que era de crescimento de 1,48% na semana passada, passou para queda de 0,48% no boletim focus divulgado hoje. as previsões do mercado para o crescimento da economia em 2021 continuam em 2,5%. a redução na expectativa para o pib leva em consideração os impactos do coronavírus na economia. as projeções para a inflação e para a taxa básica de juros (selic) também caíram, enquanto a previsão para a cotação do dólar foi mantida.",fake
"Latam pede recuperação judicial e deixa a dúvida: aéreas vão sobreviver?  

a companhia aérea latam brasil entrou com pedido de recuperação judicial nos estados unidos. eu sou césar esperandio, economista do econoweek, a tradução da economia. neste artigo, vou traduzir o que está acontecendo com a latam e quais são as perspectivas para o setor aéreo e de turismo.</s>",fake
"nan

redetv 10/12/2021 23h42 durante o bate-papo, o ministro da economia trouxe a pauta sobre os problemas que a pandemia ocasionada pela covid acarretou para o mercado.",fake
" Garimpo ilegal no AM, recorde de casos de Covid na Alemanha e mais de 25 de novembro 

garimpo ilegal no amazonas, pandemia avança na alemanha e expectativa de vida dos brasileiros estão entre os destaques do 5 fatos tarde desta quinta-feira, 25 de novembro de 2021. puxado mais uma vez pela alta da gasolina, o índice nacional de preços ao consumidor amplo (ipca-15), que é uma prévia da inflação oficial do país, ficou em 1,17% em novembro, após ter registrado taxa de 1,20% em outubro. é o que revelam os dados divulgados hoje pelo instituto brasileiro de geografia e estatística (ibge).",fake
"Bolsonaro atropela Guedes e lei de mercado ao baixar o diesel na marra  

jair bolsonaro anunciou na live de quinta-feira que vai zerar por dois meses os impostos federais sobre o diesel e acabar para todo sempre com as taxações sobre o gás de cozinha. indicou também que pretende demitir roberto castello branco, presidente da petrobras, que, pouco mais cedo, havia anunciado um novo aumento no preço da gasolina (na noite desta sexta-feira, a demissão se concretizou]. como até as pedras sabem, a petrobras define o preço dos combustíveis de acordo com a lógica da paridade internacional. ou seja, toma como base o valor do barril de petróleo multiplicado pela taxa de câmbio. como tanto o preço do barril de petróleo no exterior está em alta como o dólar no brasil, o resultado é o aumento do custo dos combustíveis.",fake
"Reajuste do diesel, Previdência e Censo do IBGE: erros de Paulo Guedes no Central GloboNews

a inflação está abaixo de 4% [ao ano] - paulo guedes",true
"Governo vê tombo recorde de 4,7% para PIB e retorno a nível pré-crise só em 2022  

o ministério da economia reviu sua projeção para o produto interno bruto (pib) em 2020 a uma contração de 4,7%, contra alta de 0,02% vista em março, num reflexo do profundo impacto da paralisação das atividades no país. o ministro da economia, adolfo sachsida, disse que a recomposição para valores pré-crise, de dezembro de 2019, virá somente em 2022.</s>",fake
"Ações da Gol, Azul, e do turismo recuam forte com temor sobre nova variante da covid  

as ações das companhias aéreas gol e azul despencavam nesta terça-feira, junto com os papéis da operadora de turismo cvc e da fabricante de aviões embraer, em meio à multiplicação de casos de uma nova variante da covid-19 no exterior. as ações da gol desabavam 10%, enquanto o ibovespa mostrava queda de 2%, com a carteira mostrando sinais negativos. autoridades globais reagiram com alarme.</s>",fake
"Brasil não terá uma nova moeda lastreada em nióbio chamada “DIM”

o banco central (bc), responsável exclusivo pela emissão da moeda brasileira, negou de forma taxativa a possibilidade de mudança no sistema financeiro nacional",true
"Em meio à pandemia, gasto de brasileiros no exterior em julho é o menor para o mês em 16 anos

os gastos de brasileiros no exterior somaram us$267 milhões em julho, tradicional mês de férias escolares. a queda foi de 86%. o recuo ocorreu devido à disparada do dólar e à escalada das tensões acerca do novo coronavírus. a moeda norte-americana tem registrado forte alta neste ano por conta da pandemia.</s>",fake
"Suzano tem prejuízo de R$13,4 bi no 1º tri, reduz investimento  

a suzano teve prejuízo líquido de 13,4 bilhões de reais no primeiro trimestre, causada pela desvalorização do real contra o dólar na dívida em moeda estrangeira do grupo, informou a maior produtora de celulose de eucalipto do mundo hoje. a linha de variação cambial da suzano foi negativa em 12,4 bilhões de dólares em meio à valorização de 29% do dólar ante o real do período. a companhia frisou que o impacto sobre o resultado terá um efeito negativo somente nos vencimentos da dívida de empresa. além disso, o resultado de operações com derivativos negativo de 9 bilhões foi negativo. o efeito das duas linhas acabaram por minimizar o crescimento de 10% no lucro antes de juros, impostos, depreciação e amortização (ebitda) ajustado.</s>",fake
" Estas indústrias ainda não recuperaram os empregos por conta da Covid-19 nos EUA 

o crescimento do emprego está superando as expectativas dos economistas e ainda há um longo caminho — e 6,8 milhões de empregos — a percorrer antes que o mercado de trabalho do país retorne aos níveis vistos antes de covid-19. as recuperações econômicas, no entanto, não são criadas da mesma forma, especialmente durante uma pandemia global que alterou significativamente o cenário de empregos.",fake
"STF, imprensa, Covid-19: erros de Bolsonaro após vídeo de reunião ser divulgado

a bolsa [de valores de são paulo] reagiu, o dólar caiu imediatamente [após a reunião com os governadores na quinta-feira (21)] - jair bolsonaro",true
"        Estados Unidos não vão acabar com cédulas de dólar 13/04/2023 10h00 

o fed (federal reserve), banco central dos estados unidos, vai abolir a cédula de dólar do país, como afirma uma publicação que circula nas redes sociais. o que acontecerá nos eua é a adoção do fednow, um serviço de pagamentos instantâneos como o pix, do brasil, e não a extinção da moeda física.",true
"Crise entre Poderes pode fazer inflação acelerar, diz analista  

após a inflação atingir 0,96% em julho, o maior resultado para o mês desde 2002, a consultoria tendências reviu sua estimativa para o ipca (índice nacional de preços ao consumidor amplo) de 2021 de 6,1% para 7%. há, porém, riscos importantes no radar que podem pressionar os preços ainda mais até o fim do ano. segundo alessandra ribeiro, sócia da tendências, a crise política também pode elevar a inflação nos próximos meses. ao lado do risco fiscal, a instabilidade pode fazer com que investidores, preocupados com o futuro da economia, deixem o país. o mercado já esperava uma inflação alta em julho, elevando o acumulado em 12 meses. mas que impacto um ipca nesse patamar pode ter na economia?",fake
"Bolsas dos EUA: Nasdaq encerra em alta com papéis de tecnologia retomando apelo

o índice nasdaq fechou em alta de 2% nesta quarta-feira (11), com investidores migrando de volta para ações de tecnologia e tomando distância de setores economicamente sensíveis, à medida que confrontaram o progresso da vacina contra o coronavírus e a recuperação econômica. os papéis de tecnologia foram impulsionados pelo isolamento social, com altas superiores a 3%. os dados encorajadores da segunda-feira de um ensaio clínico levaram a uma migração de papel de tecnologia para setores que apresentam desempenho superior na saída de recessões, como industrial, de materiais básicos e energia. mas investidores mudaram de marcha neste momento, preferindo o índice s&p para as chamadas “growth stocks”.</s>",fake
